employeeExternalId,locationId,locationExternalId,type,currentBalance,availableBalance,accrued,carryOverBalance,taken
541690,9897df6d-f763-4220-ab3d-6734d2e9e815,72103,Vacation,43,43,0,43,0
541690,9897df6d-f763-4220-ab3d-6734d2e9e815,72103,Personal,27,27,0,27,0
541690,9897df6d-f763-4220-ab3d-6734d2e9e815,72103,Take 5 Day,8,8,0,8,0
835554,401ae263-5778-437a-a93c-a5caae5c1883,819,Vacation,32.12,32.12,0,32.12,0
835554,401ae263-5778-437a-a93c-a5caae5c1883,819,Personal,40,40,0,40,0
835554,401ae263-5778-437a-a93c-a5caae5c1883,819,Take 5 Day,8,8,0,8,0
786391,ba18e2b7-74bc-4e11-85d6-0522027077f7,1165,Personal,40,40,0,40,0
786391,ba18e2b7-74bc-4e11-85d6-0522027077f7,1165,Vacation,0,0,0,0,0
786391,ba18e2b7-74bc-4e11-85d6-0522027077f7,1165,Take 5 Day,8,8,0,8,0
794428,d432660e-a45b-4551-a77c-752071ff8c0b,1392,Vacation,38,38,0,38,0
794428,d432660e-a45b-4551-a77c-752071ff8c0b,1392,CA Sick,47,47,0,47,0
794428,d432660e-a45b-4551-a77c-752071ff8c0b,1392,Take 5 Day,8,8,0,8,0
794428,d432660e-a45b-4551-a77c-752071ff8c0b,1392,WOW Week,0,0,0,0,0
837357,0548aab8-4d85-4b4b-bb22-33ee1b326c02,1148,Personal,40,40,0,40,0
837357,0548aab8-4d85-4b4b-bb22-33ee1b326c02,1148,Take 5 Day,8,8,0,8,0
839201,d6650e5c-9e0c-45ce-8de5-ffe3cdb7e221,8007,Sick Earned,18.58,18.58,0,18.58,0
216006,3197176b-7a3d-4a17-b31e-d1bc8c686995,558,Vacation,18,18,0,18,0
216006,3197176b-7a3d-4a17-b31e-d1bc8c686995,558,Personal,8,8,0,8,0
216006,3197176b-7a3d-4a17-b31e-d1bc8c686995,558,Take 5 Day,8,8,0,8,0
792873,c8d061bc-f6a3-4b37-947d-a82eb987fd00,8116,Sick Earned,9,9,0,9,0
797806,af0d7260-d232-4959-9de5-e12368e43888,245,Vacation,32,32,0,32,0
797806,af0d7260-d232-4959-9de5-e12368e43888,245,Personal,16,16,0,16,0
797806,af0d7260-d232-4959-9de5-e12368e43888,245,Take 5 Day,8,8,0,8,0
544707,1467d8fc-d8b7-4454-8d89-50c972d75897,349,Sick Earned,9,9,0,9,0
779374,ad66408e-8b64-4ccd-9f89-15b9dcc83bac,1429,CA Sick,6.52,6.52,0,6.52,0
826318,041ab422-e386-4832-90c2-e61c7f3e0518,8215,Sick Earned,0,0,0,0,0
