LocationId,LocationExternalId,LocationName,LastModifiedDate,LastModifiedByEmployeeId,LastModifiedByEmployeeExternalId,Status,Contact,Address,TimeZone,StartOfWeek,LocationType,LocationSubType,ParentLocationId,EffectiveDate
0da91a3b-1498-4c27-8a69-4e2357c29ae6,62062,SC-IN eComm Inventory,2024-09-22T23:39:19,System,System,ENABLED,,,America/Indianapolis,Sunday,Real,Real,SCINECOM,2024-01-01
10d6862a-b575-4003-a857-8505f45d2655,72077,SC-IN Transportation,2024-09-22T23:39:20,System,System,ENABLED,,,America/Indianapolis,Sunday,Real,Real,SCINTRANSPORTATION,2024-01-01
10ffab1b-bf70-4ef3-aa80-40fac04383c8,SCIN,SC-Indiana,2024-08-04T01:04:21,System,System,ENABLED,,,America/Indianapolis,Sunday,District,,SCREG,
2b53aa67-b334-4e2b-929b-08b5cac89780,4074,4074 Farmington,2024-08-30T19:56:23,System,System,ENABLED,,,America/Indianapolis,Sunday,Real,Real,StLouisSouth,2023-07-01
2d8290ef-2ae9-44d9-b112-a5ade235e456,62012,SC-IN eComm Office Admin,2024-09-22T23:39:19,System,System,ENABLED,,,America/Indianapolis,Sunday,Real,Real,SCINECOM,2024-01-01
35e75b8c-3aa2-42b4-880f-fbce468203fd,62052,SC-IN eComm Packing,2024-09-22T23:39:19,System,System,ENABLED,,,America/Indianapolis,Sunday,Real,Real,SCINECOM,2024-01-01
3d0ed827-def2-47ab-a546-99112ee9a574,72107,SC-IN Retail Inventory,2024-09-22T23:39:20,System,System,ENABLED,,,America/Indianapolis,Sunday,Real,Real,SCINRETAIL,2024-01-01
3d67fbb7-c2ed-46a0-94cb-d239150df2d9,72017,SC-IN Retail Office Admin,2024-09-22T23:39:19,System,System,ENABLED,,,America/Indianapolis,Sunday,Real,Real,SCINRETAIL,2024-01-01
428b2390-1b7a-4074-8396-9bdc62bccc11,72027,SC-IN Retail Shipping,2024-09-22T23:39:19,System,System,ENABLED,,,America/Indianapolis,Sunday,Real,Real,SCINRETAIL,2024-01-01
69f1ccee-eb93-4ba1-9761-d22e5cf0dc22,7026,7026 Brownsburg,2024-08-30T19:56:51,System,System,ENABLED,,,America/Indianapolis,Sunday,Real,Real,Indianapolis,2022-12-21
6a22b863-6366-42c8-abd2-9749ac5c2159,72047,SC-IN Maintenance,2024-09-22T23:39:20,System,System,ENABLED,,,America/Indianapolis,Sunday,Real,Real,SCINMAINTENANCE,2024-01-01
72cb7cf0-7311-4bee-888f-e042f7493550,62042,SC-IN eComm Putaway,2024-09-22T23:39:19,System,System,ENABLED,,,America/Indianapolis,Sunday,Real,Real,SCINECOM,2024-01-01
7316a533-68a2-4b7f-81a2-5127ae0cb4b2,SCINECOM,SC-Indiana eCommerce,2024-08-04T01:04:22,System,System,ENABLED,,,America/Indianapolis,Sunday,LocationGroup,Real,SCIN,2024-01-01
7f29a14b-4be4-416b-8ebc-01ca5c887e1d,8156,8156 Plymouth,2024-08-30T19:57:07,System,System,ENABLED,,,America/Indianapolis,Sunday,Real,Real,BostonSouth,2023-01-30
80076cb3-19bc-4195-a13a-94cbeb6babfd,72057,SC-IN Retail Picking,2024-09-22T23:39:19,System,System,ENABLED,,,America/Indianapolis,Sunday,Real,Real,SCINRETAIL,2024-01-01
86959797-b645-4b7a-b6ed-7a36ecae93c6,72037,SC-IN Retail Receiving,2024-09-22T23:39:19,System,System,ENABLED,,,America/Indianapolis,Sunday,Real,Real,SCINRETAIL,2024-01-01
91cb639f-b453-47e0-ad84-bbec3ecc7361,62022,SC-IN eComm Decant,2024-09-22T23:39:19,System,System,ENABLED,,,America/Indianapolis,Sunday,Real,Real,SCINECOM,2024-01-01
983168de-467c-4d86-9149-b0ad3ffa1123,SCINMAINTENANCE,SC-Indiana Maintenance,2024-08-04T01:04:22,System,System,ENABLED,,,America/Indianapolis,Sunday,LocationGroup,Real,SCIN,2024-01-01
b7937271-6563-41cd-afb6-8e7710d792a6,7110,7110 Greenville,2024-08-30T19:57:17,System,System,ENABLED,,,America/Indianapolis,Sunday,Real,Real,Toledo,2023-06-01
bb88a5bd-f7e7-4fae-ac02-6cf0523fdbe9,72087,SC-IN Human Resources,2024-11-19T19:59:53,System,System,ENABLED,,,America/Indianapolis,Sunday,Real,Real,SCINHUMANRESOURCES,2024-01-01
c8b1dde4-96a4-4d0b-a42b-78a92b7e9cd7,6240,6240 Mobile,2024-08-30T19:56:46,System,System,ENABLED,,,America/Indianapolis,Sunday,Real,Real,AlabamaSouth,2023-07-01
d76b465c-6b30-4ea2-a1c5-989b452ceee7,62032,SC-IN eComm Picking,2024-09-22T23:39:19,System,System,ENABLED,,,America/Indianapolis,Sunday,Real,Real,SCINECOM,2024-01-01
e0a5f5c0-2d54-44a8-94f7-cc531349f627,SCINTRANSPORTATION,SC-Indiana Transportation,2024-08-07T14:16:18,System,System,ENABLED,,,America/Indianapolis,Sunday,LocationGroup,Real,SCIN,2024-01-01
ec3c1a69-1766-498c-8453-d368d829967c,SCINRETAIL,SC-Indiana Retail,2024-08-04T01:04:22,System,System,ENABLED,,,America/Indianapolis,Sunday,LocationGroup,Real,SCIN,2024-01-01
ff153ed4-927e-493d-bcc7-935b06aeefac,SCINHUMANRESOURCES,SC-Indiana Human Resources,2024-11-19T19:59:53,System,System,ENABLED,,,America/Indianapolis,Sunday,LocationGroup,Real,SCIN,2024-01-01
e57e9bb3-753d-438f-8115-8abac67263b2,6212,6212 Poinciana,2024-09-24T13:44:24,System,System,ENABLED,,,America/Fort_Wayne,Sunday,Real,Real,OrlandoWest,2024-02-01
01897f49-a72e-4f4c-8504-3b0ff8bbde0d,8132,8132 Niskayuna,2024-09-24T13:45:32,System,System,ENABLED,,,America/Nipigon,Sunday,Real,Real,Albany,2022-08-05
9167c711-eb5c-45a2-b35c-4bccdc16f047,8151,8151 Bridgeville,2024-09-24T13:45:57,System,System,ENABLED,,,America/Nipigon,Sunday,Real,Real,PittsburghWest,2023-06-01
9cdef385-61a1-4309-b606-e965743aa7cc,5115,5115 La Gran Plaza,2024-08-30T19:56:30,System,System,ENABLED,,,America/Boise,Sunday,Real,Real,DFWWest,2022-10-07
03132fc9-69fb-4520-a150-8dbace016532,4076,4076 Brywood Centre,2024-08-30T19:56:23,System,System,ENABLED,,,America/Kentucky/Monticello,Sunday,Real,Real,KansasCityMetro,2024-01-01
00502acc-fd52-45a5-930c-d911e0ccbdb6,1472,1472 Montecito,2024-08-30T19:56:12,System,System,ENABLED,,,America/Los_Angeles,Sunday,Real,Real,LasVegas,2024-01-01
0937d1b7-fd5f-42c8-a03b-d03e685d6c57,Florida,Florida,2024-07-18T12:55:51,System,System,ENABLED,,,America/Los_Angeles,Sunday,UpperField,,East,
09513f96-7cea-4704-b11c-d4d6089ecd8a,PhiladelphiaNortheast,Philadelphia Northeast,2024-07-18T12:55:52,System,System,ENABLED,,,America/Los_Angeles,Sunday,District,,MidAtlantic,
12b69429-ef1e-44f1-b7ac-2af2e9ad3dac,3082,3082 E Fort Collins,2024-08-30T19:56:18,System,System,ENABLED,,,America/Los_Angeles,Sunday,Real,Real,ColoradoNorth,2023-06-30
1a9efe5a-14fd-4989-bee2-223f7cbd3f81,1344,1344 Northwest Fresno,2024-08-30T19:56:06,System,System,ENABLED,,,America/Los_Angeles,Sunday,Real,Real,CentralValley,2021-01-01
2436e42d-10f2-4bd1-b621-ab170b72fd0b,Mountain,Mountain,2024-07-18T12:55:51,System,System,ENABLED,,,America/Los_Angeles,Sunday,UpperField,,CentralWest,
24d1da35-575f-432f-8760-8175a2638a65,LongIslandWest,Long Island West,2024-07-18T12:55:59,System,System,ENABLED,,,America/Los_Angeles,Sunday,District,,Northeast,
2650cc1d-7fe2-4504-b16a-f99bf0f416ba,NYC,NYC,2024-07-18T12:55:53,System,System,ENABLED,,,America/Los_Angeles,Sunday,District,,Northeast,
2bbee66c-5e42-4e12-af48-1dcf7342eb48,HoustonWest,Houston West,2024-07-18T12:55:57,System,System,ENABLED,,,America/Los_Angeles,Sunday,District,,Texas,
372577ae-df6c-4e02-be6c-8eccfef9546e,NewJerseyShore,New Jersey Shore,2024-07-18T12:55:55,System,System,ENABLED,,,America/Los_Angeles,Sunday,District,,NewYorkCityMetro,
4c9710a6-7326-4c53-aad6-889518a5deba,StLouisWest,St. Louis West,2024-09-08T21:07:40,System,System,ENABLED,,,America/Los_Angeles,Sunday,District,,Midwest,
4efb05e3-cfb9-4802-b795-669bde1f2555,1360,1360 Silverado Ranch,2024-08-30T19:56:07,System,System,ENABLED,,,America/Los_Angeles,Sunday,Real,Real,LasVegas,2021-01-01
51edca9b-d377-4f72-8d34-07d2d317a5d8,1376,1376 Fountain Valley,2024-08-30T19:56:08,System,System,ENABLED,,,America/Los_Angeles,Sunday,Real,Real,LosAngelesMetro,2021-01-01
60df9288-4ba0-41ab-806d-e837c3aca4c5,CharlotteMetro,Charlotte Metro,2024-10-18T12:46:08,System,System,ENABLED,,,America/Los_Angeles,Sunday,District,,SouthAtlantic,
62c9d7aa-41d3-4509-be7a-7196fa13c635,1434,1434 Dublin,2024-08-30T19:56:11,System,System,ENABLED,,,America/Los_Angeles,Sunday,Real,Real,SouthBay,2023-06-30
6768ee78-c940-432e-a530-fd8bdbe63c81,MinnesotaNorth,Minnesota North,2024-07-18T12:55:54,System,System,ENABLED,,,America/Los_Angeles,Sunday,District,,Midwest,
67a07b3d-9a62-4448-9b23-2cf3042c1cb5,4053,4053 Westroads Mall,2024-09-24T13:43:47,System,System,ENABLED,,,America/Los_Angeles,Sunday,Real,Real,Nebraska,2022-02-04
6be25341-f898-4985-9154-2ff4ba8bf8fe,1416,1416 El Centro,2024-07-18T12:57:20,System,System,ENABLED,,,America/Los_Angeles,Sunday,Real,Real,SanDiegoSouth,2022-09-16
6fb30692-f3fd-4e54-9752-b70dc246aa01,BaltimoreCentral,Baltimore Central,2024-07-18T12:55:54,System,System,ENABLED,,,America/Los_Angeles,Sunday,District,,MidAtlantic,
7170bf42-1d25-4b79-85cf-3075c0325d4b,81001_PT,Pacific - FB Visual Merchandising - WowTown,2024-12-23T17:17:26,System,System,ENABLED,,,America/Los_Angeles,Sunday,Real,Real,81001,2024-01-01
72a37c9b-95ca-4984-bdef-def89a7f2fde,6223,6223 S Cape Coral,2024-09-24T13:43:42,System,System,ENABLED,,,America/Los_Angeles,Sunday,Real,Real,Sarasota,2023-07-31
741be9f8-fe4c-417f-9694-c3933a23e9d1,1390,1390 Moreno Valley,2024-07-18T12:56:17,System,System,ENABLED,,,America/Los_Angeles,Sunday,Real,Real,InlandEmpire,2021-08-27
770bb8b5-e20c-4438-a0b3-098acde45b53,Midwest,Midwest,2024-07-18T12:55:51,System,System,ENABLED,,,America/Los_Angeles,Sunday,UpperField,,CentralWest,
