TimeClockChangeId,LocationId,LocationExternalId,LastModifiedDate,LastModifiedByEmployeeId,LastModifiedByExternalEmployeeId,EmployeeId,EmployeeExternalId,TimeClockId,ClockType,ClockTimeBeforeChange,ClockLocationIdBeforeChange,ClockLocationBeforeChange,ClockWorkRoleIdBeforeChange,ClockWorkRoleBeforeChange,ClockSourceBeforeChange,ClockNoteBeforeChange,ClockTimeAfterChange,ClockLocationIdAfterChange,ClockLocationAfterChange,ClockWorkRoleIdAfterChange,ClockWorkRoleAfterChange,ClockSourceAfterChange,ClockNoteAfterChange,EventType
96eaf0a1-6b04-4751-a997-de8131125eb9,4efb05e3-cfb9-4802-b795-669bde1f2555,1360,2024-11-08T13:50:05,3ded0cae-a845-43fd-86b4-2c45cc4abe33,,23112c47-ebbb-4ffd-a82e-d6428e56378f,837003,0d4b9dd7-961c-4aac-bb66-fb81db691ffb,MealBreakEnd,,,,,,,,2024-11-08T19:30:00,4efb05e3-cfb9-4802-b795-669bde1f2555,1360,43bb0d3c-8bf5-44e7-94c9-96dc49e2ec52,crew,CONSOLEUI,,Create
05a86ec7-ffb9-42a4-8b95-d61c9c952665,4efb05e3-cfb9-4802-b795-669bde1f2555,1360,2024-11-08T14:29:24,3ded0cae-a845-43fd-86b4-2c45cc4abe33,,72c2206d-df44-4b9f-b5cc-7d1e4f8a9ab8,811107,2086cbd7-3080-4f66-b7e7-d11af4b46bd0,MealBreakBegin,,,,,,,,2024-11-08T19:00:00,4efb05e3-cfb9-4802-b795-669bde1f2555,1360,43bb0d3c-8bf5-44e7-94c9-96dc49e2ec52,crew,CONSOLEUI,,Create
54d2ef65-65e5-4978-b338-1b508aea520c,4efb05e3-cfb9-4802-b795-669bde1f2555,1360,2024-11-08T14:28:10,3ded0cae-a845-43fd-86b4-2c45cc4abe33,,72c2206d-df44-4b9f-b5cc-7d1e4f8a9ab8,811107,2276c3a2-d067-4603-875a-1a119564344c,ShiftBegin,,,,,,,,2024-11-05T16:00:00,4efb05e3-cfb9-4802-b795-669bde1f2555,1360,dea1be7d-d123-40ea-99b9-634fd714f6e3,management,CONSOLEUI,,Create
7117372a-1e07-4df9-8e0f-7020625d7d49,4efb05e3-cfb9-4802-b795-669bde1f2555,1360,2024-11-08T14:31:09,3ded0cae-a845-43fd-86b4-2c45cc4abe33,,72c2206d-df44-4b9f-b5cc-7d1e4f8a9ab8,811107,22a22799-7f6a-4616-ad45-f9782d69e41c,ShiftEnd,2024-11-09T01:00:00,4efb05e3-cfb9-4802-b795-669bde1f2555,1360,43bb0d3c-8bf5-44e7-94c9-96dc49e2ec52,crew,CONSOLEUI,,2024-11-09T00:30:00,4efb05e3-cfb9-4802-b795-669bde1f2555,1360,43bb0d3c-8bf5-44e7-94c9-96dc49e2ec52,crew,CONSOLEUI,,ApproveReject
e2821e03-a857-4f9d-9a43-db25668ed879,4efb05e3-cfb9-4802-b795-669bde1f2555,1360,2024-11-08T14:13:14,3ded0cae-a845-43fd-86b4-2c45cc4abe33,,4a92e71a-ecb7-4850-8646-84ccf20b00d4,812334,24cd27ef-63e6-4eb6-88c6-aa0d78a265b3,ShiftBegin,,,,,,,,2024-11-03T16:00:00,4efb05e3-cfb9-4802-b795-669bde1f2555,1360,7e74c3b7-22fa-4178-acee-24b510e53a55,storeAssetProtection,CONSOLEUI,,Create
cd43ce17-932c-416a-a0f3-681feccec005,4efb05e3-cfb9-4802-b795-669bde1f2555,1360,2024-11-08T18:14:47,3ded0cae-a845-43fd-86b4-2c45cc4abe33,,e7faaa4e-5a90-42ca-8f57-c0447aa6ed79,792439,2581b937-785f-44a5-85d1-cb2a1bfca47c,MealBreakBegin,,,,,,,,2024-11-05T07:00:00,4efb05e3-cfb9-4802-b795-669bde1f2555,1360,13769782-f035-4816-ab0f-bbd8a4b35e69,remodel,CONSOLEUI,,Create
58801648-c039-47e6-a5be-dbcd31a99c7e,4efb05e3-cfb9-4802-b795-669bde1f2555,1360,2024-11-08T14:29:22,3ded0cae-a845-43fd-86b4-2c45cc4abe33,,72c2206d-df44-4b9f-b5cc-7d1e4f8a9ab8,811107,2cf84dd5-fef8-42f8-95a2-1a51b7b0d155,MealBreakEnd,,,,,,,,2024-11-06T19:30:00,4efb05e3-cfb9-4802-b795-669bde1f2555,1360,7e74c3b7-22fa-4178-acee-24b510e53a55,storeAssetProtection,CONSOLEUI,,Create
fd4abfe7-d51f-4a88-a126-7909421391f4,4efb05e3-cfb9-4802-b795-669bde1f2555,1360,2024-11-08T14:29:24,3ded0cae-a845-43fd-86b4-2c45cc4abe33,,72c2206d-df44-4b9f-b5cc-7d1e4f8a9ab8,811107,324ccf9e-25fa-4e8b-8e06-be40f473abcd,MealBreakEnd,,,,,,,,2024-11-08T19:30:00,4efb05e3-cfb9-4802-b795-669bde1f2555,1360,43bb0d3c-8bf5-44e7-94c9-96dc49e2ec52,crew,CONSOLEUI,,Create
2a0a2a43-dd3a-40f5-9f19-942a742bc85c,4efb05e3-cfb9-4802-b795-669bde1f2555,1360,2024-11-08T14:29:22,3ded0cae-a845-43fd-86b4-2c45cc4abe33,,72c2206d-df44-4b9f-b5cc-7d1e4f8a9ab8,811107,43fade3b-5b36-477d-ba1c-b42f0c85a6e0,MealBreakBegin,,,,,,,,2024-11-06T19:00:00,4efb05e3-cfb9-4802-b795-669bde1f2555,1360,7e74c3b7-22fa-4178-acee-24b510e53a55,storeAssetProtection,CONSOLEUI,,Create
30bc3b11-1c34-4c8d-803e-99c025d78bbd,4efb05e3-cfb9-4802-b795-669bde1f2555,1360,2024-11-08T18:14:47,3ded0cae-a845-43fd-86b4-2c45cc4abe33,,e7faaa4e-5a90-42ca-8f57-c0447aa6ed79,792439,4656080e-5ada-4243-9317-5d22b641ad35,ShiftBegin,,,,,,,,2024-11-05T02:00:00,4efb05e3-cfb9-4802-b795-669bde1f2555,1360,13769782-f035-4816-ab0f-bbd8a4b35e69,remodel,CONSOLEUI,,Create
c95e10e2-85b2-4754-99da-3d842dc4548d,181a5b4b-c7d3-464c-a091-d7ce5ed4361e,1358,2024-11-08T18:10:02,3ded0cae-a845-43fd-86b4-2c45cc4abe33,,23112c47-ebbb-4ffd-a82e-d6428e56378f,837003,47f44be8-2dfe-4d41-8004-02d0446b4b6d,ShiftBegin,,,,,,,,2024-11-07T22:00:00,181a5b4b-c7d3-464c-a091-d7ce5ed4361e,1358,43bb0d3c-8bf5-44e7-94c9-96dc49e2ec52,crew,CONSOLEUI,,Create
62a4fa4a-4e28-46ac-86c3-034a4eb9c804,4efb05e3-cfb9-4802-b795-669bde1f2555,1360,2024-11-08T13:50:05,3ded0cae-a845-43fd-86b4-2c45cc4abe33,,23112c47-ebbb-4ffd-a82e-d6428e56378f,837003,4991b5a2-5909-4792-add3-cd93a0b88192,ShiftBegin,,,,,,,,2024-11-08T16:00:00,4efb05e3-cfb9-4802-b795-669bde1f2555,1360,43bb0d3c-8bf5-44e7-94c9-96dc49e2ec52,crew,CONSOLEUI,,Create
fb62e85f-c8d2-4039-9d6c-d3d517788c9c,4efb05e3-cfb9-4802-b795-669bde1f2555,1360,2024-11-08T14:04:29,3ded0cae-a845-43fd-86b4-2c45cc4abe33,,60d80c8a-ca3a-4855-9d6b-ef5df17c8509,823206,4e15c00f-b4fd-4307-af36-b5ed69749772,MealBreakEnd,,,,,,,,2024-11-03T19:30:00,4efb05e3-cfb9-4802-b795-669bde1f2555,1360,43bb0d3c-8bf5-44e7-94c9-96dc49e2ec52,crew,CONSOLEUI,,Create
2adaeca7-997a-495c-9f31-5b2001ee0b4a,4efb05e3-cfb9-4802-b795-669bde1f2555,1360,2024-11-08T14:29:21,3ded0cae-a845-43fd-86b4-2c45cc4abe33,,72c2206d-df44-4b9f-b5cc-7d1e4f8a9ab8,811107,50612641-52fe-44a3-8dd3-82afb9557e06,MealBreakEnd,,,,,,,,2024-11-05T19:30:00,4efb05e3-cfb9-4802-b795-669bde1f2555,1360,dea1be7d-d123-40ea-99b9-634fd714f6e3,management,CONSOLEUI,,Create
38c3cf66-3b61-40c7-89a0-72647473c6db,4efb05e3-cfb9-4802-b795-669bde1f2555,1360,2024-11-08T14:28:12,3ded0cae-a845-43fd-86b4-2c45cc4abe33,,72c2206d-df44-4b9f-b5cc-7d1e4f8a9ab8,811107,5469a692-f210-4aa3-b543-e27908e876f6,ShiftBegin,,,,,,,,2024-11-08T16:00:00,4efb05e3-cfb9-4802-b795-669bde1f2555,1360,43bb0d3c-8bf5-44e7-94c9-96dc49e2ec52,crew,CONSOLEUI,,Create
