Co Code,Batch ID,File #,Rate Code,Temp Dept,Reg Hours,O/T Hours,Hours 3 Code,Hours 3 Amount,Earnings 3 Code,Earnings 3 Amount,Memo Code,Memo Amount,Special Proc Code,Other Begin Date,Other End Date
K3W,Legion,208919,,,33.98,,,,,,WK,1,,,
K3W,Legion,208919,,,,,RP,5,,,WK,1,,,
K3W,Legion,208919,,,,,MP,1,,,WK,1,,,
K3W,Legion,208919,,,,,V,3,,,WK,1,,,
K3W,Legion,208919,,,35.23,,,,,,WK,2,,,
K3W,Legion,208919,,,,0.25,,,,,WK,2,,,
K3W,Legion,208919,,,,,RP,5,,,WK,2,,,
K3W,Legion,208919,,,,,MP,1,,,WK,2,,,
K3W,Legion,300923,,,36.7,,,,,,WK,1,,,
K3W,Legion,300923,,,,2.91,,,,,WK,1,,,
K3W,Legion,300923,,,,,RP,5,,,WK,1,,,
K3W,Legion,300923,,,,,MP,1,,,WK,1,,,
K3W,Legion,300923,,,,,S,5,,,WK,1,,,
K3W,Legion,300923,,,24,,,,,,WK,2,,,
K3W,Legion,300923,,,,2.3,,,,,WK,2,,,
K3W,Legion,300923,,,,,MP,1,,,WK,2,,,
K3W,Legion,300923,,,,,RP,3,,,WK,2,,,
K3W,Legion,303849,,,36.83,,,,,,WK,1,,,
K3W,Legion,303849,,,,4.3,,,,,WK,1,,,
K3W,Legion,303849,,,,,MP,1,,,WK,1,,,
K3W,Legion,303849,,,,,RP,5,,,WK,1,,,
K3W,Legion,303849,,,39,,,,,,WK,2,,,
K3W,Legion,303849,,,,5.2,,,,,WK,2,,,
K3W,Legion,303849,,,,,RP,5,,,WK,2,,,
K3W,Legion,400110,,,39.45,,,,,,WK,1,,,
K3W,Legion,400110,,,,2.21,,,,,WK,1,,,
K3W,Legion,400110,,,,,RP,5,,,WK,1,,,
K3W,Legion,400110,,,40,,,,,,WK,2,,,
K3W,Legion,400110,,,,4.9,,,,,WK,2,,,
K3W,Legion,400110,,,,,RP,5,,,WK,2,,,
K3W,Legion,400116,,,,,RP,5,,,WK,1,,,
K3W,Legion,400116,,,,6.13,,,,,WK,1,,,
K3W,Legion,400116,,,,,RP,4,,,WK,2,,,
K3W,Legion,400116,,,,4.43,,,,,WK,2,,,
K3W,Legion,400116,,,,,V,9,,,WK,2,,,
K3W,Legion,400117,,,32.63,,,,,,WK,1,,,
K3W,Legion,400117,,,,1.9,,,,,WK,1,,,
K3W,Legion,400117,,,,,MP,1,,,WK,1,,,
K3W,Legion,400117,,,,,RP,4,,,WK,1,,,
K3W,Legion,400117,,,,,V,8,,,WK,1,,,
K3W,Legion,400117,,,40,,,,,,WK,2,,,
K3W,Legion,400117,,,,3.56,,,,,WK,2,,,
K3W,Legion,400117,,,,,RP,5,,,WK,2,,,
K3W,Legion,400117,,,,,MP,2,,,WK,2,,,
K3W,Legion,504911,,,37.51,,,,,,WK,1,,,
K3W,Legion,504911,,,,,RP,5,,,WK,1,,,
K3W,Legion,504911,,,39.05,,,,,,WK,2,,,
K3W,Legion,504911,,,,0.13,,,,,WK,2,,,
K3W,Legion,504911,,,,,RP,5,,,WK,2,,,
K3W,Legion,506498,,,31.11,,,,,,WK,1,,,
K3W,Legion,506498,,,,0.71,,,,,WK,1,,,
K3W,Legion,506498,,,,,RP,4,,,WK,1,,,
K3W,Legion,506498,,,,,V,5,,,WK,1,,,
K3W,Legion,506498,,,39.8,,,,,,WK,2,,,
K3W,Legion,506498,,,,1.08,,,,,WK,2,,,
K3W,Legion,506498,,,,,RP,5,,,WK,2,,,
K3W,Legion,507179,,,18.06,,,,,,WK,1,,,
K3W,Legion,507179,,,,,MP,4,,,WK,1,,,
K3W,Legion,507179,,,,,RP,3,,,WK,1,,,
K3W,Legion,507179,,,23.01,,,,,,WK,2,,,
K3W,Legion,507179,,,,,MP,4,,,WK,2,,,
K3W,Legion,507179,,,,,RP,4,,,WK,2,,,
K3W,Legion,508150,,,36.25,,,,,,WK,1,,,
K3W,Legion,508150,,,,0.91,,,,,WK,1,,,
K3W,Legion,508150,,,,,MP,1,,,WK,1,,,
K3W,Legion,508150,,,,,RP,5,,,WK,1,,,
K3W,Legion,508150,,,39.03,,,,,,WK,2,,,
K3W,Legion,508150,,,,0.5,,,,,WK,2,,,
K3W,Legion,508150,,,,,RP,5,,,WK,2,,,
K3W,Legion,510244,,,38.68,,,,,,WK,1,,,
K3W,Legion,510244,,,,0.11,,,,,WK,1,,,
K3W,Legion,510244,,,,,RP,5,,,WK,1,,,
K3W,Legion,510244,,,30.1,,,,,,WK,2,,,
K3W,Legion,510244,,,,2.5,,,,,WK,2,,,
K3W,Legion,510244,,,,,RP,4,,,WK,2,,,
K3W,Legion,510244,,,,,MP,2,,,WK,2,,,
K3W,Legion,510827,,,2.98,,,,,,WK,2,,,
K3W,Legion,510827,,,,,MP,1,,,WK,2,,,
K3W,Legion,510836,,,15.88,,,,,,WK,1,,,
K3W,Legion,510836,,,,,MP,4,,,WK,1,,,
K3W,Legion,510836,,,,,RP,1,,,WK,1,,,
K3W,Legion,510836,,,14.95,,,,,,WK,2,,,
K3W,Legion,510836,,,,,MP,4,,,WK,2,,,
K3W,Legion,515147,,,38.16,,,,,,WK,1,,,
K3W,Legion,515147,,,,2.18,,,,,WK,1,,,
K3W,Legion,515147,,,,,RP,5,,,WK,1,,,
K3W,Legion,515147,,,39.56,,,,,,WK,2,,,
K3W,Legion,515147,,,,2.2,,,,,WK,2,,,
K3W,Legion,515147,,,,,RP,5,,,WK,2,,,
K3W,Legion,517103,,,27.5,,,,,,WK,1,,,
K3W,Legion,517103,,,,,RP,3,,,WK,1,,,
K3W,Legion,517103,,,,,MP,2,,,WK,1,,,
K3W,Legion,517103,,,28.03,,,,,,WK,2,,,
K3W,Legion,517103,,,,,RP,4,,,WK,2,,,
K3W,Legion,517878,,,36.65,,,,,,WK,1,,,
K3W,Legion,517878,,,,,RP,5,,,WK,1,,,
K3W,Legion,517878,,,30.01,,,,,,WK,2,,,
K3W,Legion,517878,,,,0.61,,,,,WK,2,,,
K3W,Legion,517878,,,,,RP,4,,,WK,2,,,
K3W,Legion,517878,,,,,MP,1,,,WK,2,,,
K3W,Legion,517878,,,,,V,8,,,WK,2,,,
K3W,Legion,519021,,,4.33,,,,,,WK,1,,,
K3W,Legion,519021,,,,,MP,1,,,WK,1,,,
K3W,Legion,519021,,,,,RP,1,,,WK,1,,,
K3W,Legion,519021,,,4.2,,,,,,WK,2,,,
K3W,Legion,519021,,,,,MP,1,,,WK,2,,,
K3W,Legion,519021,,,,,RP,1,,,WK,2,,,
K3W,Legion,519064,,,33.86,,,,,,WK,1,,,
K3W,Legion,519064,,,,,MP,2,,,WK,1,,,
K3W,Legion,519064,,,,,RP,5,,,WK,1,,,
K3W,Legion,519064,,,34.2,,,,,,WK,2,,,
K3W,Legion,519064,,,,,RP,5,,,WK,2,,,
K3W,Legion,519064,,,,,MP,2,,,WK,2,,,
K3W,Legion,522199,,,,,S,4,,,WK,1,,,
K3W,Legion,522199,,,4.15,,,,,,WK,2,,,
K3W,Legion,522199,,,,,MP,1,,,WK,2,,,
K3W,Legion,522199,,,,,RP,1,,,WK,2,,,
K3W,Legion,522199,,,,,S,4,,,WK,2,,,
K3W,Legion,522305,,,33.75,,,,,,WK,1,,,
K3W,Legion,522305,,,,0.03,,,,,WK,1,,,
K3W,Legion,522305,,,,,RP,5,,,WK,1,,,
K3W,Legion,522305,,,,,MP,1,,,WK,1,,,
K3W,Legion,522305,,,29.76,,,,,,WK,2,,,
K3W,Legion,522305,,,,,RP,5,,,WK,2,,,
K3W,Legion,522305,,,,,MP,1,,,WK,2,,,
K3W,Legion,523032,,,4.25,,,,,,WK,1,,,
K3W,Legion,523032,,,,,MP,1,,,WK,1,,,
