Employee ID,Date/Time,Labor Level Transfer,Work Rule Transfer,,Punch Type,Time Zone ID
524230,1/26/2025 9:59,,,,New Shift,134040
524230,1/26/2025 15:28,,,,Out Punch,134040
821036,1/26/2025 15:54,,,,New Shift,134040
821036,1/26/2025 19:40,,,,Out Punch,134040
524230,1/26/2025 15:58,,,,CA 30 Min Meal at GT 5 Hrs,134040
524230,1/26/2025 18:12,,,,Out Punch,134040
524230,1/27/2025 9:00,,,,New Shift,134040
524230,1/27/2025 12:11,,,,Out Punch,134040
524230,1/28/2025 16:50,,,,New Shift,134040
524230,1/28/2025 21:00,,,,Out Punch,134040
691221,1/28/2025 18:00,,,,New Shift,134040
691221,1/28/2025 21:03,,,,Out Punch,134040
540265,1/29/2025 16:23,,,,New Shift,134040
540265,1/29/2025 20:43,,,,Out Punch,134040
839051,1/30/2025 15:03,,,,New Shift,134040
839051,1/30/2025 18:31,,,,Out Punch,134040
540265,1/30/2025 16:30,,,,New Shift,134040
540265,1/30/2025 20:41,,,,Out Punch,134040
839051,1/30/2025 19:01,,,,CA 30 Min Meal at LT 5 Hrs,134040
839051,1/30/2025 20:41,,,,Out Punch,134040
540265,1/31/2025 16:25,,,,New Shift,134040
540265,1/31/2025 20:53,,,,Out Punch,134040
524230,2/1/2025 12:32,,,,New Shift,134040
524230,2/1/2025 16:42,,,,Out Punch,134040
540265,2/1/2025 15:50,,,,New Shift,134040
540265,2/1/2025 20:52,,,,Out Punch,134040
524230,2/1/2025 17:13,,,,CA 30 Min Meal at LT 5 Hrs,134040
524230,2/1/2025 20:53,,,,Out Punch,134040
524230,2/2/2025 10:01,,,,New Shift,134040
524230,2/2/2025 14:44,,,,Out Punch,134040
524230,2/2/2025 15:16,,,,CA 30 Min Meal at LT 5 Hrs,134040
524230,2/2/2025 18:06,,,,Out Punch,134040
524230,2/3/2025 12:37,,,,New Shift,134040
524230,2/3/2025 16:30,,,,Out Punch,134040
524230,2/3/2025 17:00,,,,CA 30 Min Meal at LT 5 Hrs,134040
524230,2/3/2025 21:10,,,,Out Punch,134040
524230,2/4/2025 14:55,,,,New Shift,134040
524230,2/4/2025 19:22,,,,Out Punch,134040
540265,2/4/2025 15:51,,,,New Shift,134040
540265,2/4/2025 20:49,,,,Out Punch,134040
524230,2/4/2025 19:53,,,,CA 30 Min Meal at LT 5 Hrs,134040
524230,2/4/2025 20:52,,,,Out Punch,134040
524230,2/5/2025 12:06,,,,New Shift,134040
524230,2/5/2025 16:52,,,,Out Punch,134040
524230,2/5/2025 17:25,,,,CA 30 Min Meal at LT 5 Hrs,134040
524230,2/5/2025 20:50,,,,Out Punch,134040
591838,2/6/2025 8:01,,,,New Shift,134040
591838,2/6/2025 12:01,,,,Out Punch,134040
524230,2/6/2025 12:04,,,,New Shift,134040
524230,2/6/2025 14:53,,,,Out Punch,134040
524230,2/6/2025 16:06,,,,New Shift,134040
524230,2/6/2025 20:41,,,,Out Punch,134040
691221,2/6/2025 17:57,,,,New Shift,134040
691221,2/6/2025 20:41,,,,Out Punch,134040
591838,2/7/2025 7:14,,,,New Shift,134040
591838,2/7/2025 11:31,,,,Out Punch,134040
540265,2/7/2025 16:57,,,,New Shift,134040
540265,2/7/2025 20:40,,,,Out Punch,134040
839051,2/8/2025 9:01,,,,New Shift,134040
839051,2/8/2025 13:08,,,,Out Punch,134040
524230,2/8/2025 13:01,,,,New Shift,134040
524230,2/8/2025 17:23,,,,Out Punch,134040
540265,2/8/2025 16:06,,,,New Shift,134040
540265,2/8/2025 20:45,,,,Out Punch,134040
524230,2/8/2025 17:53,,,,CA 30 Min Meal at LT 5 Hrs,134040
524230,2/8/2025 20:47,,,,Out Punch,134040
874683,1/26/2025 9:00,,,,New Shift,134040
874683,1/26/2025 13:00,,,,Out Punch,134040
870580,1/26/2025 9:12,,,,New Shift,134040
870580,1/26/2025 14:26,,,,Out Punch,134040
863864,1/26/2025 11:52,,,,New Shift,134040
863864,1/26/2025 16:15,,,,Out Punch,134040
874683,1/26/2025 13:30,,,,CA 30 Min Meal at LT 5 Hrs,134040
874683,1/26/2025 17:30,,,,Out Punch,134040
870580,1/26/2025 15:08,,,,CA 30 Min Meal at GT 5 Hrs,134040
870580,1/26/2025 19:00,,,,Out Punch,134040
863864,1/26/2025 16:49,,,,CA 30 Min Meal at LT 5 Hrs,134040
863864,1/26/2025 19:41,,,,Out Punch,134040
870580,1/27/2025 8:54,,,,New Shift,134040
870580,1/27/2025 13:25,,,,Out Punch,134040
874683,1/27/2025 9:00,,,,New Shift,134040
874683,1/27/2025 13:00,,,,Out Punch,134040
574412,1/27/2025 13:00,,,,New Shift,134040
574412,1/27/2025 17:18,,,,Out Punch,134040
863864,1/27/2025 13:03,,,,New Shift,134040
863864,1/27/2025 17:55,,,,Out Punch,134040
874683,1/27/2025 13:30,,,,CA 30 Min Meal at LT 5 Hrs,134040
874683,1/27/2025 17:30,,,,Out Punch,134040
870580,1/27/2025 13:55,,,,CA 30 Min Meal at LT 5 Hrs,134040
870580,1/27/2025 18:58,,,,Out Punch,134040
574412,1/27/2025 17:49,,,,CA 30 Min Meal at LT 5 Hrs,134040
574412,1/27/2025 20:54,,,,Out Punch,134040
863864,1/27/2025 18:28,,,,CA 30 Min Meal at LT 5 Hrs,134040
863864,1/27/2025 20:55,,,,Out Punch,134040
863864,1/28/2025 9:00,,,,New Shift,134040
863864,1/28/2025 13:30,,,,Out Punch,134040
574412,1/28/2025 12:59,,,,New Shift,134040
574412,1/28/2025 17:55,,,,Out Punch,134040
863864,1/28/2025 14:03,,,,CA 30 Min Meal at LT 5 Hrs,134040
863864,1/28/2025 17:07,,,,Out Punch,134040
574412,1/28/2025 18:28,,,,CA 30 Min Meal at LT 5 Hrs,134040
574412,1/28/2025 21:03,,,,Out Punch,134040
870580,1/29/2025 6:00,,,,New Shift,134040
870580,1/29/2025 14:09,,,,Out Punch,134040
882450,1/29/2025 6:00,,,,New Shift,134040
882450,1/29/2025 10:04,,,,Out Punch,134040
882465,1/29/2025 6:02,,,,New Shift,134040
882465,1/29/2025 10:04,,,,Out Punch,134040
848552,1/29/2025 6:06,,,,New Shift,134040
848552,1/29/2025 10:06,,,,Out Punch,134040
874683,1/29/2025 9:00,,,,New Shift,134040
874683,1/29/2025 13:00,,,,Out Punch,134040
874683,1/29/2025 13:30,,,,CA 30 Min Meal at LT 5 Hrs,134040
874683,1/29/2025 17:30,,,,Out Punch,134040
870580,1/29/2025 14:45,,,,CA 2nd 30 Min Meal by 10 Hrs,134040
870580,1/29/2025 20:45,,,,Out Punch,134040
870580,1/30/2025 9:03,,,,New Shift,134040
870580,1/30/2025 12:56,,,,Out Punch,134040
870580,1/30/2025 13:29,,,,CA 30 Min Meal at LT 5 Hrs,134040
870580,1/30/2025 19:02,,,,Out Punch,134040
882465,1/30/2025 15:03,,,,New Shift,134040
882465,1/30/2025 19:04,,,,Out Punch,134040
870580,1/31/2025 9:29,,,,New Shift,134040
870580,1/31/2025 13:11,,,,Out Punch,134040
574412,1/31/2025 13:00,,,,New Shift,134040
574412,1/31/2025 17:01,,,,Out Punch,134040
874683,1/31/2025 13:00,,,,New Shift,134040
874683,1/31/2025 17:00,,,,Out Punch,134040
870580,1/31/2025 13:57,,,,CA 30 Min Meal at LT 5 Hrs,134040
870580,1/31/2025 19:04,,,,Out Punch,134040
874683,1/31/2025 17:30,,,,CA 30 Min Meal at LT 5 Hrs,134040
874683,1/31/2025 21:30,,,,Out Punch,134040
574412,1/31/2025 17:36,,,,CA 30 Min Meal at LT 5 Hrs,134040
574412,1/31/2025 20:52,,,,Out Punch,134040
863864,2/1/2025 9:00,,,,New Shift,134040
863864,2/1/2025 13:59,,,,Out Punch,134040
874683,2/1/2025 9:00,,,,New Shift,134040
874683,2/1/2025 13:00,,,,Out Punch,134040
882465,2/1/2025 9:01,,,,New Shift,134040
882465,2/1/2025 13:04,,,,Out Punch,134040
574412,2/1/2025 13:00,,,,New Shift,134040
574412,2/1/2025 17:27,,,,Out Punch,134040
874683,2/1/2025 13:30,,,,CA 30 Min Meal at LT 5 Hrs,134040
882465,2/1/2025 13:35,,,,CA 30 Min Meal at LT 5 Hrs,134040
882465,2/1/2025 17:04,,,,Out Punch,134040
874683,2/1/2025 17:30,,,,Out Punch,134040
863864,2/1/2025 14:36,,,,New Shift,134040
863864,2/1/2025 17:06,,,,Out Punch,134040
574412,2/1/2025 17:58,,,,CA 30 Min Meal at LT 5 Hrs,134040
574412,2/1/2025 20:52,,,,Out Punch,134040
870580,2/2/2025 9:27,,,,New Shift,134040
870580,2/2/2025 14:11,,,,Out Punch,134040
874683,2/2/2025 12:02,,,,New Shift,134040
874683,2/2/2025 16:09,,,,Out Punch,134040
863864,2/2/2025 12:07,,,,New Shift,134040
863864,2/2/2025 17:04,,,,Out Punch,134040
870580,2/2/2025 14:50,,,,CA 30 Min Meal at LT 5 Hrs,134040
870580,2/2/2025 20:01,,,,Out Punch,134040
874683,2/2/2025 16:40,,,,CA 30 Min Meal at LT 5 Hrs,134040
874683,2/2/2025 20:02,,,,Out Punch,134040
863864,2/2/2025 17:40,,,,CA 30 Min Meal at LT 5 Hrs,134040
863864,2/2/2025 20:02,,,,Out Punch,134040
870580,2/3/2025 9:25,,,,New Shift,134040
870580,2/3/2025 13:14,,,,Out Punch,134040
874683,2/3/2025 12:00,,,,New Shift,134040
874683,2/3/2025 15:53,,,,Out Punch,134040
870580,2/3/2025 13:47,,,,CA 30 Min Meal at LT 5 Hrs,134040
870580,2/3/2025 19:28,,,,Out Punch,134040
874683,2/3/2025 16:24,,,,CA 30 Min Meal at LT 5 Hrs,134040
874683,2/3/2025 21:09,,,,Out Punch,134040
574412,2/4/2025 9:00,,,,New Shift,134040
574412,2/4/2025 13:32,,,,Out Punch,134040
863864,2/4/2025 14:00,,,,New Shift,134040
863864,2/4/2025 18:25,,,,Out Punch,134040
574412,2/4/2025 14:02,,,,CA 30 Min Meal at LT 5 Hrs,134040
574412,2/4/2025 17:06,,,,Out Punch,134040
863864,2/4/2025 18:59,,,,CA 30 Min Meal at LT 5 Hrs,134040
863864,2/4/2025 20:52,,,,Out Punch,134040
870580,2/5/2025 5:59,,,,New Shift,134040
870580,2/5/2025 12:50,,,,Out Punch,134040
848552,2/5/2025 5:59,,,,New Shift,134040
848552,2/5/2025 10:16,,,,Out Punch,134040
882465,2/5/2025 6:01,,,,New Shift,134040
882465,2/5/2025 10:15,,,,Out Punch,134040
882450,2/5/2025 6:01,,,,New Shift,134040
882450,2/5/2025 10:15,,,,Out Punch,134040
574412,2/5/2025 13:06,,,,New Shift,134040
574412,2/5/2025 17:33,,,,Out Punch,134040
870580,2/5/2025 13:48,,,,CA 2nd 30 Min Meal by 10 Hrs,134040
870580,2/5/2025 16:10,,,,Out Punch,134040
574412,2/5/2025 18:06,,,,CA 30 Min Meal at LT 5 Hrs,134040
574412,2/5/2025 20:49,,,,Out Punch,134040
870580,2/6/2025 5:52,,,,New Shift,134040
870580,2/6/2025 10:52,,,,Out Punch,134040
848552,2/6/2025 6:00,,,,New Shift,134040
848552,2/6/2025 10:26,,,,Out Punch,134040
882465,2/6/2025 6:01,,,,New Shift,134040
882465,2/6/2025 10:24,,,,Out Punch,134040
882450,2/6/2025 6:02,,,,New Shift,134040
882450,2/6/2025 10:25,,,,Out Punch,134040
574412,2/6/2025 10:00,,,,New Shift,134040
574412,2/6/2025 14:31,,,,Out Punch,134040
870580,2/6/2025 11:43,,,,New Shift,134040
870580,2/6/2025 15:25,,,,Out Punch,134040
874683,2/6/2025 12:03,,,,New Shift,134040
874683,2/6/2025 16:15,,,,Out Punch,134040
574412,2/6/2025 15:03,,,,CA 30 Min Meal at LT 5 Hrs,134040
574412,2/6/2025 16:09,,,,Out Punch,134040
874683,2/6/2025 16:47,,,,CA 30 Min Meal at LT 5 Hrs,134040
874683,2/6/2025 20:42,,,,Out Punch,134040
870580,2/7/2025 6:00,,,,New Shift,134040
870580,2/7/2025 10:28,,,,Out Punch,134040
882465,2/7/2025 6:01,,,,New Shift,134040
882465,2/7/2025 10:08,,,,Out Punch,134040
882450,2/7/2025 6:01,,,,New Shift,134040
882450,2/7/2025 10:17,,,,Out Punch,134040
870580,2/7/2025 11:06,,,,CA 30 Min Meal at LT 5 Hrs,134040
870580,2/7/2025 15:24,,,,Out Punch,134040
574412,2/7/2025 13:00,,,,New Shift,134040
574412,2/7/2025 17:06,,,,Out Punch,134040
874683,2/7/2025 13:02,,,,New Shift,134040
874683,2/7/2025 17:42,,,,Out Punch,134040
574412,2/7/2025 17:39,,,,CA 30 Min Meal at LT 5 Hrs,134040
574412,2/7/2025 20:41,,,,Out Punch,134040
874683,2/7/2025 18:15,,,,CA 30 Min Meal at LT 5 Hrs,134040
874683,2/7/2025 20:42,,,,Out Punch,134040
863864,2/8/2025 9:00,,,,New Shift,134040
863864,2/8/2025 13:51,,,,Out Punch,134040
874683,2/8/2025 13:07,,,,New Shift,134040
874683,2/8/2025 18:01,,,,Out Punch,134040
863864,2/8/2025 14:24,,,,CA 30 Min Meal at LT 5 Hrs,134040
863864,2/8/2025 16:13,,,,Out Punch,134040
874683,2/8/2025 18:36,,,,CA 30 Min Meal at LT 5 Hrs,134040
874683,2/8/2025 20:44,,,,Out Punch,134040
777177,1/26/2025 9:00,,,,New Shift,134040
777177,1/26/2025 13:46,,,,Out Punch,134040
809143,1/26/2025 10:00,,,,New Shift,134040
809143,1/26/2025 14:00,,,,Out Punch,134040
745468,1/26/2025 13:30,,,,New Shift,134040
745468,1/26/2025 16:50,,,,Out Punch,134040
777177,1/26/2025 14:16,,,,CA 30 Min Meal at LT 5 Hrs,134040
777177,1/26/2025 17:26,,,,Out Punch,134040
745468,1/26/2025 17:21,,,,CA 30 Min Meal at LT 5 Hrs,134040
745468,1/26/2025 20:00,,,,Out Punch,134040
527454,1/27/2025 6:58,,,,New Shift,134040
527454,1/27/2025 11:55,,,,Out Punch,134040
719327,1/27/2025 8:02,,,,New Shift,134040
719327,1/27/2025 12:38,,,,Out Punch,134040
527454,1/27/2025 12:25,,,,CA 30 Min Meal at LT 5 Hrs,134040
527454,1/27/2025 16:30,,,,Out Punch,134040
777177,1/27/2025 12:30,,,,New Shift,134040
777177,1/27/2025 17:10,,,,Out Punch,134040
719327,1/27/2025 13:10,,,,CA 30 Min Meal at LT 5 Hrs,134040
719327,1/27/2025 16:30,,,,Out Punch,134040
777177,1/27/2025 17:40,,,,CA 30 Min Meal at LT 5 Hrs,134040
777177,1/27/2025 21:01,,,,Out Punch,134040
719327,1/28/2025 9:00,,,,New Shift,134040
719327,1/28/2025 13:42,,,,Out Punch,134040
808741,1/28/2025 9:59,,,,New Shift,134040
808741,1/28/2025 14:05,,,,Out Punch,134040
527454,1/28/2025 12:15,,,,New Shift,134040
527454,1/28/2025 17:00,,,,Out Punch,134040
719327,1/28/2025 14:14,,,,CA 30 Min Meal at LT 5 Hrs,134040
719327,1/28/2025 17:30,,,,Out Punch,134040
776670,1/28/2025 17:01,,,,New Shift,134040
776670,1/28/2025 20:37,,,,Out Punch,134040
527454,1/28/2025 17:30,,,,CA 30 Min Meal at LT 5 Hrs,134040
527454,1/28/2025 20:36,,,,Out Punch,134040
719327,1/29/2025 6:01,,,,New Shift,134040
719327,1/29/2025 10:16,,,,Out Punch,134040
808741,1/29/2025 6:01,,,,New Shift,134040
808741,1/29/2025 10:02,,,,Out Punch,134040
527454,1/29/2025 7:58,,,,New Shift,134040
527454,1/29/2025 12:35,,,,Out Punch,134040
719327,1/29/2025 10:47,,,,CA 30 Min Meal at LT 5 Hrs,134040
719327,1/29/2025 15:03,,,,Out Punch,134040
527454,1/29/2025 13:05,,,,CA 30 Min Meal at LT 5 Hrs,134040
527454,1/29/2025 16:32,,,,Out Punch,134040
745468,1/29/2025 14:59,,,,New Shift,134040
745468,1/29/2025 18:50,,,,Out Punch,134040
745468,1/29/2025 19:21,,,,CA 30 Min Meal at LT 5 Hrs,134040
745468,1/29/2025 21:01,,,,Out Punch,134040
719327,1/30/2025 9:00,,,,New Shift,134040
719327,1/30/2025 13:32,,,,Out Punch,134040
719327,1/30/2025 14:04,,,,CA 30 Min Meal at LT 5 Hrs,134040
719327,1/30/2025 17:30,,,,Out Punch,134040
745468,1/30/2025 14:59,,,,New Shift,134040
745468,1/30/2025 18:25,,,,Out Punch,134040
776670,1/30/2025 17:11,,,,New Shift,134040
776670,1/30/2025 20:58,,,,Out Punch,134040
745468,1/30/2025 18:56,,,,CA 30 Min Meal at LT 5 Hrs,134040
