employeeid,locationId,clockintime,clockintype,deleted,externalId,role
524230,1300,2025-01-26T17:59:00Z,ShiftBegin,,524230-1300-1-26-20259:59,crew
524230,1300,2025-01-26T23:28:00Z,MealBreakBegin,,524230-1300-1-26-202515:28,crew
524230,1300,2025-01-26T23:58:00Z,MealBreakEnd,,524230-1300-1-26-202515:58,crew
524230,1300,2025-01-27T02:12:00Z,ShiftEnd,,524230-1300-1-26-202518:12,crew
524230,1300,2025-01-27T17:00:00Z,ShiftBegin,,524230-1300-1-27-20259:00,crew
524230,1300,2025-01-27T20:11:00Z,ShiftEnd,,524230-1300-1-27-202512:11,crew
524230,1300,2025-01-29T00:50:00Z,ShiftBegin,,524230-1300-1-28-202516:50,crew
524230,1300,2025-01-29T05:00:00Z,ShiftEnd,,524230-1300-1-28-202521:00,crew
524230,1300,2025-02-01T20:32:00Z,ShiftBegin,,524230-1300-2-1-202512:32,crew
524230,1300,2025-02-02T00:42:00Z,MealBreakBegin,,524230-1300-2-1-202516:42,crew
524230,1300,2025-02-02T01:13:00Z,MealBreakEnd,,524230-1300-2-1-202517:13,crew
524230,1300,2025-02-02T04:53:00Z,ShiftEnd,,524230-1300-2-1-202520:53,crew
524230,1300,2025-02-02T18:01:00Z,ShiftBegin,,524230-1300-2-2-202510:01,crew
524230,1300,2025-02-02T22:44:00Z,MealBreakBegin,,524230-1300-2-2-202514:44,crew
524230,1300,2025-02-02T23:16:00Z,MealBreakEnd,,524230-1300-2-2-202515:16,crew
524230,1300,2025-02-03T02:06:00Z,ShiftEnd,,524230-1300-2-2-202518:06,crew
524230,1300,2025-02-03T20:37:00Z,ShiftBegin,,524230-1300-2-3-202512:37,crew
524230,1300,2025-02-04T00:30:00Z,MealBreakBegin,,524230-1300-2-3-202516:30,crew
524230,1300,2025-02-04T01:00:00Z,MealBreakEnd,,524230-1300-2-3-202517:00,crew
524230,1300,2025-02-04T05:10:00Z,ShiftEnd,,524230-1300-2-3-202521:10,crew
524230,1300,2025-02-04T22:55:00Z,ShiftBegin,,524230-1300-2-4-202514:55,crew
524230,1300,2025-02-05T03:22:00Z,MealBreakBegin,,524230-1300-2-4-202519:22,crew
524230,1300,2025-02-05T03:53:00Z,MealBreakEnd,,524230-1300-2-4-202519:53,crew
524230,1300,2025-02-05T04:52:00Z,ShiftEnd,,524230-1300-2-4-202520:52,crew
524230,1300,2025-02-05T20:06:00Z,ShiftBegin,,524230-1300-2-5-202512:06,crew
524230,1300,2025-02-06T00:52:00Z,MealBreakBegin,,524230-1300-2-5-202516:52,crew
524230,1300,2025-02-06T01:25:00Z,MealBreakEnd,,524230-1300-2-5-202517:25,crew
524230,1300,2025-02-06T04:50:00Z,ShiftEnd,,524230-1300-2-5-202520:50,crew
524230,1300,2025-02-06T20:04:00Z,ShiftBegin,,524230-1300-2-6-202512:04,crew
524230,1300,2025-02-06T22:53:00Z,ShiftEnd,,524230-1300-2-6-202514:53,crew
524230,1300,2025-02-07T00:06:00Z,ShiftBegin,,524230-1300-2-6-202516:06,crew
524230,1300,2025-02-07T04:41:00Z,ShiftEnd,,524230-1300-2-6-202520:41,crew
524230,1300,2025-02-08T21:01:00Z,ShiftBegin,,524230-1300-2-8-202513:01,crew
524230,1300,2025-02-09T01:23:00Z,MealBreakBegin,,524230-1300-2-8-202517:23,crew
524230,1300,2025-02-09T01:53:00Z,MealBreakEnd,,524230-1300-2-8-202517:53,crew
524230,1300,2025-02-09T04:47:00Z,ShiftEnd,,524230-1300-2-8-202520:47,crew
821036,1300,2025-01-26T23:54:00Z,ShiftBegin,,821036-1300-1-26-202515:54,crew
821036,1300,2025-01-27T03:40:00Z,ShiftEnd,,821036-1300-1-26-202519:40,crew
